customer_id,last_order_date,order_count,lifetime_value,days_since_last_order,is_churned
5400,2013-03-16,3,32.0,4473.0,1
9281,2013-09-14,5,96.0,4291.0,1
4825,2013-03-16,2,76.0,4473.0,1
4286,2013-03-16,2,40.0,4473.0,1
1472,2013-03-16,4,84.0,4473.0,1
2777,2013-03-16,4,71.0,4473.0,1
5302,2013-03-16,4,73.0,4473.0,1
582,2013-11-22,11,237.0,4222.0,1
9149,2013-03-16,2,6.0,4473.0,1
3822,2013-03-16,1,30.0,4473.0,1
14527,2013-03-16,3,60.0,4473.0,1
16815,2013-03-16,3,182.0,4473.0,1
13,2013-10-15,5,81.0,4260.0,1
732,2013-08-04,5,121.0,4332.0,1
3354,2013-04-05,8,129.0,4453.0,1
348,2013-03-16,2,14.0,4473.0,1
5897,2013-03-16,3,1715.0,4473.0,1
3084,2013-03-16,3,2751.0,4473.0,1
3104,2013-09-08,7,3611.0,4297.0,1
9425,2013-03-16,4,4132.0,4473.0,1
9817,2013-03-16,6,4228.0,4473.0,1
17829,2013-03-16,3,4329.0,4473.0,1
15330,2013-03-16,5,2860.0,4473.0,1
98,2013-07-24,5,8099.0,4343.0,1
14367,2013-03-16,2,1244.0,4473.0,1
10655,2013-03-16,4,604.0,4473.0,1
18401,2013-03-16,5,3993.0,4473.0,1
16144,2013-03-16,4,1169.0,4473.0,1
1631,2013-04-26,6,6825.0,4432.0,1
13106,2013-03-16,2,2419.0,4473.0,1
51,2013-11-19,6,5007.0,4225.0,1
12415,2013-03-17,4,3391.0,4472.0,1
1134,2013-12-01,10,5830.0,4213.0,1
3100,2013-09-14,5,200.0,4291.0,1
2182,2013-11-02,4,186.0,4242.0,1
15774,2013-03-17,1,70.0,4472.0,1
2642,2013-06-07,6,144.0,4390.0,1
3060,2013-07-04,5,106.0,4363.0,1
2628,2013-11-20,6,214.0,4224.0,1
12777,2013-03-17,2,2478.0,4472.0,1
17905,2013-03-17,3,2848.0,4472.0,1
181,2013-09-25,6,138.0,4280.0,1
16632,2013-03-17,2,34.0,4472.0,1
16741,2013-03-17,2,25.0,4472.0,1
16026,2013-03-17,2,23.0,4472.0,1
15176,2013-03-17,3,89.0,4472.0,1
17683,2013-03-17,3,64.0,4472.0,1
14153,2013-03-17,2,35.0,4472.0,1
13451,2013-03-17,2,68.0,4472.0,1
13315,2013-03-17,2,57.0,4472.0,1
12133,2013-03-17,4,160.0,4472.0,1
12895,2013-03-17,3,70.0,4472.0,1
741,2014-01-18,14,384.0,4165.0,1
7555,2013-04-03,5,156.0,4455.0,1
186,2014-01-26,68,1616.0,4157.0,1
12252,2013-03-17,2,45.0,4472.0,1
2186,2013-07-21,8,150.0,4346.0,1
10699,2013-03-17,2,15.0,4472.0,1
8853,2013-03-17,1,70.0,4472.0,1
7524,2013-08-04,5,161.0,4332.0,1
7553,2013-03-17,1,5.0,4472.0,1
7375,2013-03-17,2,13.0,4472.0,1
6432,2013-03-17,1,5.0,4472.0,1
6489,2013-03-17,1,5.0,4472.0,1
5045,2013-03-17,2,69.0,4472.0,1
5296,2013-03-17,5,138.0,4472.0,1
2765,2013-03-17,3,75.0,4472.0,1
3812,2013-03-17,3,37.0,4472.0,1
16002,2013-03-17,2,30.0,4472.0,1
3536,2013-03-17,3,123.0,4472.0,1
16837,2013-03-17,1,5.0,4472.0,1
16927,2013-03-17,1,5.0,4472.0,1
17424,2013-03-17,2,34.0,4472.0,1
15842,2013-03-17,4,78.0,4472.0,1
1569,2013-03-17,4,67.0,4472.0,1
4861,2013-03-17,2,1323.0,4472.0,1
2939,2013-03-17,6,3071.0,4472.0,1
1190,2013-03-17,4,5950.0,4472.0,1
1711,2013-07-26,4,4774.0,4341.0,1
7740,2013-03-17,5,5372.0,4472.0,1
15775,2013-03-17,3,1332.0,4472.0,1
7738,2013-03-17,2,6021.0,4472.0,1
7748,2013-03-17,5,6089.0,4472.0,1
7711,2013-03-17,6,6098.0,4472.0,1
17842,2013-03-17,4,4334.0,4472.0,1
5755,2013-08-02,7,3118.0,4334.0,1
907,2013-07-12,7,8151.0,4355.0,1
13735,2013-03-17,6,2492.0,4472.0,1
10904,2013-03-17,2,549.0,4472.0,1
7496,2013-03-18,2,6021.0,4471.0,1
7497,2013-03-18,5,6122.0,4471.0,1
5516,2013-03-18,3,4733.0,4471.0,1
13890,2013-03-18,5,2269.0,4471.0,1
576,2013-09-16,7,6806.0,4289.0,1
565,2013-03-18,2,4369.0,4471.0,1
11007,2013-03-18,3,42.0,4471.0,1
10407,2013-03-18,3,75.0,4471.0,1
72,2013-12-01,7,110.0,4213.0,1
115,2013-12-26,7,123.0,4188.0,1
15785,2013-03-18,3,89.0,4471.0,1
1037,2013-10-08,5,69.0,4267.0,1
3313,2013-08-04,4,191.0,4332.0,1
10104,2013-03-18,5,2507.0,4471.0,1
6636,2013-03-18,3,4153.0,4471.0,1
3957,2013-03-18,4,4145.0,4471.0,1
16938,2013-03-18,5,2641.0,4471.0,1
1324,2013-05-15,11,10836.0,4413.0,1
604,2013-10-08,5,6767.0,4267.0,1
2561,2013-08-24,5,6453.0,4312.0,1
200,2013-10-17,6,132.0,4258.0,1
17144,2013-03-18,2,14.0,4471.0,1
1065,2013-11-28,5,122.0,4216.0,1
17982,2013-03-18,2,27.0,4471.0,1
8224,2013-12-31,6,84.0,4183.0,1
503,2014-01-27,43,1025.0,4156.0,1
8837,2013-10-27,4,79.0,4248.0,1
825,2014-01-09,11,240.0,4174.0,1
11010,2013-03-18,1,10.0,4471.0,1
8016,2013-05-10,6,125.0,4418.0,1
11227,2013-03-18,2,35.0,4471.0,1
12052,2013-03-18,2,35.0,4471.0,1
3503,2013-09-29,5,122.0,4276.0,1
3726,2013-12-09,10,319.0,4205.0,1
9309,2013-03-18,1,70.0,4471.0,1
9122,2013-03-18,1,70.0,4471.0,1
7522,2013-03-18,2,120.0,4471.0,1
7602,2013-03-18,1,70.0,4471.0,1
12799,2013-03-18,3,68.0,4471.0,1
